Painting_Name,Artist_Name,Date,Artist_Gender,Subject_Clothing,Subject_Location,Subject_Sight,Subject_Activity
"The Empress Eugénie (Eugénie de Montijo, 1826–1920, Condesa de Teba)",Franz Xaver Winterhalter,1854,Male,Dressed,Outdoor,LookingAway,Activity
Woman with a Rake,Jean-François Millet,1856,Male,Dressed,Outdoor,LookingAway,Activity
Shepherdess Seated on a Rock,Jean-François Millet,1856,Male,Dressed,Outdoor,LookingAway,Potrait
Woman in a Riding Habit (L'Amazone),Gustave Courbet,1856,Male,Dressed,Outdoor,LookingAt,Potrait
The Old Italian Woman,Edgar Degas,1857,Male,Dressed,Outdoor,LookingAway,Potrait
A Shepherdess and Her Flock,Anton Mauve,1858,Male,Dressed,Outdoor,LookingAway,Activity
Changing Pasture,Anton Mauve,1858,Male,Dressed,Outdoor,LookingAway,Activity
Madame de Brayer,Gustave Courbet,1858,Male,Dressed,Outdoor,LookingAt,Potrait
"Countess Alexander Nikolaevitch Lamsdorff (Maria Ivanovna Beck, 1835–1866)",Franz Xaver Winterhalter,1859,Male,Dressed,Outdoor,LookingAt,Activity
The Last Token: A Christian Martyr,Gabriel Max,1860,Male,Dressed,Interior,LookingAway,Activity
The Letter,Camille Corot,1860,Male,Dressed,Interior,LookingAway,Activity
Portrait of a Woman in Gray,Edgar Degas,1860,Male,Dressed,Interior,LookingAt,Activity
Mademoiselle V. . . in the Costume of an Espada,Edouard Manet,1862,Male,Dressed,Outdoor,LookingAt,Activity
Nude with Flowering Branch,Gustave Courbet,1863,Male,Nude,Outdoor,LookingAway,Activity
"Portrait of a Woman (Marianna Panciatichi, marchesa Paolucci delle Roncole, 1835–1919, or her sister-in-law, Beatrice Ferrari-Corbelli di Reggio, contessa di Lucciano)",Michele Gordigiani,1864,Male,Dressed,Unknown,LookingAt,Potrait
"Jo, La Belle Irlandaise",Gustave Courbet,1865,Male,Dressed,Interior,LookingAway,Activity
A Woman Seated beside a Vase of Flowers (Madame Paul Valpinçon?),Edgar Degas,1865,Male,Dressed,Interior,LookingAway,Potrait
Sibylle,Camille Corot,1865,Male,Dressed,Interior,LookingAt,Potrait
Madame Gaye,Mariano Fortuny Marsal,1865,Male,Dressed,Unknown,LookingAt,Potrait
"The Pink Dress (Albertie-Marguerite Carré, later Madame Ferdinand-Henri Himmes, 1854–1935)",Berthe Morisot,1865,Female,Dressed,Interior,LookingAt,Activity
Bacchante in a Landscape,Camille Corot,1865,Male,Nude,Outdoor,LookingAway,Activity
Young Lady in 1866,Edouard Manet,1866,Male,Dressed,Unknown,LookingAway,Activity
Woman with a Parrot,Gustave Courbet,1866,Male,Nude,Interior,LookingAway,Activity
The Young Bather,Gustave Courbet,1866,Male,Nude,Outdoor,LookingAway,Activity
Mademoiselle Marie Dihau (1843–1935),Edgar Degas,1867,Male,Dressed,Interior,LookingAway,Potrait
The Woman in the Waves,Gustave Courbet,1868,Male,Nude,Outdoor,LookingAway,Activity
A Woman Reading,Camille Corot,1869,Male,Dressed,Outdoor,LookingAway,Activity
"Madame Théodore Gobillard (Yves Morisot, 1838–1893)",Edgar Degas,1869,Male,Dressed,Interior,LookingAway,Activity
Salome,Henri Regnault,1870,Male,Dressed,Interior,LookingAt,Activity
"Madame Édouard Manet (Suzanne Leenhoff, 1830–1906)",Edouard Manet,1870,Male,Dressed,Unknown,LookingAway,Potrait
A Waitress at Duval's Restaurant,Auguste Renoir,1870,Male,Dressed,Interior,LookingAway,Activity
Young Woman with Her Hand over Her Mouth,Edgar Degas,1870,Male,Dressed,Interior,LookingAt,Activity
"Madame Édouard Bernier (Marie-Octavie-Stéphanie Laurens, 1838–1920)",Auguste Renoir,1871,Male,Dressed,Interior,LookingAt,Potrait
Tea,James Tissot,1872,Male,Dressed,Interior,LookingAway,Activity
Dancer Onstage,Edgar Degas,1872,Male,Dressed,Outdoor,LookingAway,Activity
A Woman Ironing,Edgar Degas,1873,Male,Dressed,Interior,LookingAway,Activity
Before the Mirror,Pierre-Paul-Léon Glaize,1873,Male,Dressed,Interior,LookingAway,Activity
"The Artist's Cousin, Probably Mrs. William Bell (Mathilde Musson, 1841–1878)",Edgar Degas,1873,Male,Dressed,Unknown,LookingAway,Potrait
Young Woman Seated on a Sofa,Berthe Morisot,1874,Female,Dressed,Outdoor,LookingAt,Activity
Woman on a Sofa,Edgar Degas,1875,Male,Dressed,Unknown,LookingAway,Potrait
Lucia,"Frederic, Lord Leighton",1875,Male,Dressed,Unknown,LookingAway,Potrait
The Birth of Venus,Alexandre Cabanel,1875,Male,Nude,Outdoor,LookingAway,Potrait
Catharine Lorillard Wolfe (1828–1887),Alexandre Cabanel,1876,Male,Dressed,Interior,LookingAt,Potrait
The Bouquet of Violets,Eva Gonzalès,1877,Female,Dressed,Interior,LookingAway,Activity
Young Woman Knitting,Berthe Morisot,1878,Female,Dressed,Outdoor,LookingAway,Activity
Graziella,Jules-Joseph Lefebvre,1878,Male,Dressed,Outdoor,LookingAway,Activity
The Singer in Green,Edgar Degas,1879,Male,Dressed,Unknown,LookingAway,Potrait
Mademoiselle Isabelle Lemonnier (1857–1926),Edouard Manet,1879,Male,Nude,Unknown,LookingAway,Potrait
"Mademoiselle Lucie Delabigne (1859–1910), Called Valtesse de la Bigne",Edouard Manet,1879,Male,Dressed,Unknown,LookingAway,Potrait
Dancer,Edgar Degas,1880,Male,Dressed,Interior,LookingAway,Activity
The Peddler,Vladimir Egorovich Makovsky,1880,Male,Dressed,Outdoor,LookingAt,Potrait
"Madame Manet (Suzanne Leenhoff, 1830–1906) at Bellevue",Edouard Manet,1880,Male,Dressed,Outdoor,LookingAway,Activity
Portrait of a Young Woman,Edgar Degas,1880,Male,Dressed,Interior,LookingAway,Potrait
"Washerwoman, Study",Camille Pissarro,1880,Male,Dressed,Unknown,LookingAway,Potrait
"Mrs. John Crosby Brown (Mary Elizabeth Adams, 1842–1918)",Anders Zorn,1880,Male,Dressed,Unknown,LookingAt,Potrait
A Bather (Echo),Jean-Jacques Henner,1881,Male,Nude,Outdoor,LookingAway,Activity
"The Artist's Wife (Périe, 1849–1887) Reading",Albert Bartholomé,1883,Male,Dressed,Interior,LookingAway,Activity
By the Seashore,Auguste Renoir,1883,Male,Dressed,Outdoor,LookingAt,Potrait
Reclining Nude,Auguste Renoir,1883,Male,Nude,Outdoor,LookingAway,Activity
"Mrs. Charles Warren-Cram (Ella Brooks Carter, 1846–1896)",Giovanni Boldini,1885,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Henri Fantin-Latour,1885,Male,Dressed,Unknown,LookingAt,Potrait
Woman Bathing in a Shallow Tub,Edgar Degas,1885,Male,Nude,Interior,LookingAway,Activity
Bather Stepping into a Tub,Edgar Degas,1885,Male,Nude,Interior,LookingAway,Activity
Woman Drying Her Arm,Edgar Degas,1885,Male,Nude,Interior,LookingAway,Activity
Woman Drying Her Foot,Edgar Degas,1885,Male,Nude,Interior,LookingAway,Activity
Woman Having Her Hair Combed,Edgar Degas,1886,Male,Nude,Interior,LookingAway,Activity
Portia,Sir John Everett Millais,1886,Male,Dressed,Interior,LookingAway,Potrait
Tamaris,Pierre Puvis de Chavannes,1886,Male,Nude,Outdoor,LookingAway,Potrait
Woman at a Balcony,Jean-Léon Gérôme,1887,Male,Dressed,Interior,LookingAt,Activity
"The Stroller (Suzanne Hoschedé, later Mrs. Theodore Earl Butler, 1868–1899)",Claude Monet,1887,Male,Dressed,Outdoor,LookingAway,Activity
"Madame Cézanne (Hortense Fiquet, 1850–1922) in a Red Dress",Paul Cézanne,1888,Male,Dressed,Interior,LookingAt,Potrait
"La Berceuse (Woman Rocking a Cradle; Augustine-Alix Pellicot Roulin, 1851–1930)",Vincent van Gogh,1889,Male,Dressed,Interior,LookingAt,Potrait
"Mrs. William Astor (Caroline Webster Schermerhorn, 1831–1908)",Carolus-Duran (Charles-Auguste-Émile Durant),1890,Male,Dressed,Interior,LookingAway,Potrait
The Streetwalker,Henri de Toulouse-Lautrec,1890,Male,Dressed,Outdoor,LookingAt,Potrait
The First Communion,Eugène Carrière,1891,Male,Dressed,Unknown,LookingAway,Activity
"Madame Cézanne (Hortense Fiquet, 1850–1922) in the Conservatory",Paul Cézanne,1891,Male,Dressed,Outdoor,LookingAt,Potrait
Women Sewing at a Table,Eugène Carrière,1894,Male,Dressed,Interior,LookingAway,Activity
"Frieda Schiff (1876–1958), Later Mrs. Felix M. Warburg",Anders Zorn,1894,Male,Dressed,Unknown,LookingAt,Potrait
Woman with a Towel,Edgar Degas,1894,Male,Nude,Interior,LookingAway,Activity
"Madame Thadée Natanson (Misia Godebska, 1872–1950) at the Theater",Henri de Toulouse-Lautrec,1895,Male,Dressed,Unknown,LookingAway,Activity
"Laure de Sade, Comtesse Adhéaume de Chevigné",Federico de Madrazo y de Ochoa,1895,Male,Dressed,Interior,LookingAway,Activity
Bather in the Woods,Camille Pissarro,1895,Male,Nude,Outdoor,LookingAway,Activity
Woman Standing Beside a Balustrade with a Poodle,Paul Ranson,1895,Male,Dressed,Outdoor,LookingAway,Activity
Émilie,Henri de Toulouse-Lautrec,1897,Male,Dressed,Outdoor,LookingAway,Activity
"Mrs. Walter Rathbone Bacon (Virginia Purdy Barker, 1862–1919)",Anders Zorn,1897,Male,Dressed,Unknown,LookingAt,Potrait
Woman before a Mirror,Henri de Toulouse-Lautrec,1897,Male,Nude,Interior,LookingAway,Activity
Serena Pulitzer Lederer (1867–1943),Gustav Klimt,1899,Male,Dressed,Unknown,LookingAt,Potrait
Mademoiselle Nys,Henri de Toulouse-Lautrec,1899,Male,Dressed,Unknown,LookingAway,Potrait
A Young Woman Reading,Johannes Vermeer,1900,Male,Dressed,Interior,LookingAway,Activity
"Portrait of a Woman, Said to Be Caritas Pirckheimer (1467–1532)",Albrecht Dürer,1900,Male,Dressed,Unknown,LookingAway,Potrait
"Madame Arthur Fontaine (Marie Escudier, born 1865)",Odilon Redon,1901,Male,Dressed,Outdoor,LookingAt,Activity
"The Bath, Jávea",Joaquín Sorolla y Bastida,1905,Male,Nude,Outdoor,LookingAway,Activity
The Cigarette (Jeanne Daurmont),Walter Richard Sickert,1906,Male,Dressed,Interior,LookingAway,Potrait
"Señora de Sorolla (Clotilde García del Castillo, 1865–1929) in Black",Joaquín Sorolla y Bastida,1906,Male,Dressed,Interior,LookingAt,Potrait
Reclining Nude (Thin Adeline),Walter Richard Sickert,1906,Male,Nude,Interior,LookingAt,Potrait
"Mrs. Winthrop W. Aldrich (Harriet Alexander, 1888–1972)",Joaquín Sorolla y Bastida,1909,Male,Dressed,Interior,LookingAt,Potrait
Pandora,Odilon Redon,1909,Male,Nude,Outdoor,LookingAway,Potrait
"Tilla Durieux (Ottilie Godeffroy, 1880–1971)",Auguste Renoir,1914,Male,Dressed,Interior,LookingAway,Potrait
The Nightingale Sings,Mikhail Vasilievich Nesterov,1923,Male,Dressed,Outdoor,LookingAway,Activity
Emma Alexander Sheafer (1891–1973),Hoëy(?),1925,Anonymous,Dressed,Unknown,LookingAt,Activity
"Madame Grand (Noël Catherine Vorlée, 1761–1835)",Elisabeth Louise Vigée Le Brun,1783,Female,Dressed,Interior,LookingAway,Activity
The Toilette of Venus,François Boucher,1751,Male,Nude,Interior,LookingAway,Activity

