Painting_Name,Artist_Name,Date,Artist_Gender,Subject_Clothing,Subject_Location,Subject_Sight,Subject_Activity
Portrait of a Woman,Rembrandt (Rembrandt van Rijn),1633,Male,Dressed,Interior,LookingAway,Potrait
Portrait of a Young Woman with a Fan,Rembrandt (Rembrandt van Rijn),1633,Male,Dressed,Interior,LookingAt,Potrait
Bellona,Rembrandt (Rembrandt van Rijn),1633,Male,Dressed,Interior,LookingAway,Activity
Portrait of a Woman,Jan van Ravesteyn,1635,Male,Dressed,Unknown,LookingAt,Potrait
A Young Woman as a Shepherdess,Govert Flinck,1635,Male,Dressed,Unknown,LookingAt,Potrait
The Disillusioned Medea,Paulus Bor,1635,Male,Dressed,Interior,LookingAway,Activity
Queen Henrietta Maria,Anthony van Dyck,1636,Male,Dressed,Interior,LookingAway,Potrait
A Young Woman in a Landscape,Dutch Painter,1636,Anonymous,Dressed,Outdoor,LookingAt,Activity
Old Woman Praying,Matthias Stom,1637,Male,Dressed,Interior,LookingAway,Activity
"Margaretha van Clootwijk (born about 1580/81, died 1662), Wife of Jacob van Dalen",Michiel Jansz. van Mierevelt,1639,Male,Dressed,Unknown,LookingAt,Potrait
Young Woman with a Red Necklace,Rembrandt,1640,Male,Dressed,Interior,LookingAway,Potrait
Portrait of a Woman,Ferdinand Bol,1642,Male,Dressed,Unknown,LookingAt,Potrait
The Toilet of Bathsheba,Rembrandt (Rembrandt van Rijn),1643,Male,Dressed,Interior,LookingAway,Potrait
A Female Martyr Saint,Carlo Francesco Nuvolone,1645,Male,Dressed,Unknown,LookingAway,Potrait
Portrait of a Woman,Frans Hals,1645,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Adriaen Hanneman,1648,Male,Dressed,Interior,LookingAt,Potrait
Portrait of a Woman,Cornelis Jonson van Ceulen the Elder,1648,Male,Dressed,Unknown,LookingAway,Potrait
The Sibyl,Willem Drost,1649,Male,Dressed,Interior,LookingAt,Potrait
Flora,Rembrandt (Rembrandt van Rijn),1649,Male,Dressed,Interior,LookingAway,Potrait
Portrait of a Woman,Jürgen Ovens,1650,Male,Dressed,Interior,LookingAt,Activity
"Portrait of a Woman, Said to Be Lucy Percy (1600?–1660), Countess of Carlisle",Samuel Cooper,1653,Male,Dressed,Interior,LookingAt,Potrait
The Reader,Eglon van der Neer,1654,Male,Dressed,Interior,LookingAway,Activity
Hendrickje Stoffels (1626–1663),Rembrandt (Rembrandt van Rijn),1654,Male,Dressed,Interior,LookingAway,Potrait
Old Woman Cutting Her Nails,Rembrandt,1655,Male,Dressed,Interior,LookingAway,Activity
Portrait of a Woman,Nicolaes Maes,1657,Male,Dressed,Unknown,LookingAt,Potrait
The Lacemaker,Bernhard Keil,1660,Male,Dressed,Interior,LookingAway,Activity
