Object ID,Department,Object Date,Continent,Tags,Link Resource
51604,Asian Art,15,An,Insects|Leaves,http://www.metmuseum.org/art/collection/search/51604
651239,Drawings and Prints,16,An,Bees,http://www.metmuseum.org/art/collection/search/651239
308904,"Arts of Africa, Oceania, and the Americas",16,Sa,Bells,http://www.metmuseum.org/art/collection/search/308904
42062,Asian Art,16,An,Butterflies|Plants,http://www.metmuseum.org/art/collection/search/42062
46656,Asian Art,16,An,Butterflies|Flowers|Trees|Dishes,http://www.metmuseum.org/art/collection/search/46656
24781,Arms and Armor,16,An,Dragonflies,http://www.metmuseum.org/art/collection/search/24781
334887,Drawings and Prints,16,An,Dragonflies|Plants,http://www.metmuseum.org/art/collection/search/334887
40233,Asian Art,16,An,Insects|Flowers|Leaves,http://www.metmuseum.org/art/collection/search/40233
312618,"Arts of Africa, Oceania, and the Americas",16,Na,Insects,http://www.metmuseum.org/art/collection/search/312618
416271,Drawings and Prints,16,An,Insects|Plants,http://www.metmuseum.org/art/collection/search/416271
423664,Drawings and Prints,16,An,Insects|Vases,http://www.metmuseum.org/art/collection/search/423664
425424,Drawings and Prints,16,An,Insects|Flowers|Leaves,http://www.metmuseum.org/art/collection/search/425424
426112,Drawings and Prints,16,An,Insects|Flowers|Vases,http://www.metmuseum.org/art/collection/search/426112
72585,Asian Art,16,An,Insects|Peonies|Roses|Hills|Plants,http://www.metmuseum.org/art/collection/search/72585
193578,European Sculpture and Decorative Arts,16,An,Snails,http://www.metmuseum.org/art/collection/search/193578
73807,Asian Art,17,An,Animals|Butterflies|Flowers|Dishes,http://www.metmuseum.org/art/collection/search/73807
385461,Drawings and Prints,17,An,Bees,http://www.metmuseum.org/art/collection/search/385461
385462,Drawings and Prints,17,An,Bees,http://www.metmuseum.org/art/collection/search/385462
86212,Asian Art,17,An,Birds|Butterflies,http://www.metmuseum.org/art/collection/search/86212
446182,Islamic Art,17,As,Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/446182
223743,European Sculpture and Decorative Arts,17,An,Birds|Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/223743
50841,Asian Art,17,An,Birds|Butterflies|Vases,http://www.metmuseum.org/art/collection/search/50841
193,American Decorative Arts,17,Na,Birds|Deer|Butterflies|Snails|Lions|Castles|Men|Women|Flowers,http://www.metmuseum.org/art/collection/search/193
70045,Asian Art,17,An,Birds|Dragonflies,http://www.metmuseum.org/art/collection/search/70045
423445,Drawings and Prints,17,An,Birds|Insects,http://www.metmuseum.org/art/collection/search/423445
425896,Drawings and Prints,17,An,Birds|Insects,http://www.metmuseum.org/art/collection/search/425896
419983,Drawings and Prints,17,An,Birds|Insects,http://www.metmuseum.org/art/collection/search/419983
459300,Robert Lehman Collection,17,An,Birds|Insects,http://www.metmuseum.org/art/collection/search/459300
81132,Costume Institute,17,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/81132
205042,European Sculpture and Decorative Arts,17,An,Birds|Insects|Flowers,http://www.metmuseum.org/art/collection/search/205042
146,American Decorative Arts,17,Na,Bow and Arrow|Boys|Cupid|Butterflies,http://www.metmuseum.org/art/collection/search/146
361549,Drawings and Prints,17,An,Butterflies,http://www.metmuseum.org/art/collection/search/361549
361551,Drawings and Prints,17,An,Butterflies,http://www.metmuseum.org/art/collection/search/361551
29962,Arms and Armor,17,An,Butterflies,http://www.metmuseum.org/art/collection/search/29962
43763,Asian Art,17,An,Butterflies,http://www.metmuseum.org/art/collection/search/43763
70258,Asian Art,17,An,Butterflies,http://www.metmuseum.org/art/collection/search/70258
71142,Asian Art,17,An,Butterflies,http://www.metmuseum.org/art/collection/search/71142
67908,Asian Art,17,An,Butterflies,http://www.metmuseum.org/art/collection/search/67908
70006,Asian Art,17,An,Butterflies,http://www.metmuseum.org/art/collection/search/70006
70016,Asian Art,17,An,Butterflies,http://www.metmuseum.org/art/collection/search/70016
460683,Robert Lehman Collection,17,An,Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/460683
460684,Robert Lehman Collection,17,An,Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/460684
461221,Robert Lehman Collection,17,An,Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/461221
196271,European Sculpture and Decorative Arts,17,An,Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/196271
68979,Asian Art,17,An,Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/68979
70048,Asian Art,17,An,Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/70048
74564,Asian Art,17,An,Butterflies|Flowers,http://www.metmuseum.org/art/collection/search/74564
222242,European Sculpture and Decorative Arts,17,An,Butterflies|Flowers|Birds,http://www.metmuseum.org/art/collection/search/222242
143,American Decorative Arts,17,Eu,Butterflies|Flowers|Bowls|Saucers,http://www.metmuseum.org/art/collection/search/143
50784,Asian Art,17,An,Butterflies|Flowers|Cups,http://www.metmuseum.org/art/collection/search/50784
52293,Asian Art,17,An,Butterflies|Flowers|Dishes,http://www.metmuseum.org/art/collection/search/52293
52868,Asian Art,17,An,Butterflies|Flowers|Dishes,http://www.metmuseum.org/art/collection/search/52868
52290,Asian Art,17,An,Butterflies|Flowers|Dishes|Vases,http://www.metmuseum.org/art/collection/search/52290
52292,Asian Art,17,An,Butterflies|Flowers|Dishes|Vases,http://www.metmuseum.org/art/collection/search/52292
52294,Asian Art,17,An,Butterflies|Flowers|Dishes|Vases,http://www.metmuseum.org/art/collection/search/52294
71900,Asian Art,17,An,Butterflies|Flowers|Leaves,http://www.metmuseum.org/art/collection/search/71900
51703,Asian Art,17,An,Butterflies|Flowers|Leaves,http://www.metmuseum.org/art/collection/search/51703
172,American Decorative Arts,17,Na,Butterflies|Flowers|Leaves|Bowls,http://www.metmuseum.org/art/collection/search/172
52291,Asian Art,17,An,Butterflies|Flowers|Leaves|Dishes|Vases,http://www.metmuseum.org/art/collection/search/52291
52899,Asian Art,17,An,Butterflies|Flowers|Leaves|Teapots,http://www.metmuseum.org/art/collection/search/52899
52040,Asian Art,17,An,Butterflies|Flowers|Leaves|Vases,http://www.metmuseum.org/art/collection/search/52040
